"","X","upper","lower","pred","obs","type","variable"
"668",74,6.59199660754833,4.47706562542286,5.534531,5.6,"Calibration","pH"
"677",75,6.54407635008614,4.49043998444755,5.517258,5.6,"Calibration","pH"
"686",76,10.7552001370257,6.37692953216377,8.566065,8.7,"Calibration","pH"
"695",77,11.8000758900861,6.63863527629569,9.219356,9.2,"Calibration","pH"
"704",78,8.27255619293616,5.24503051513269,6.7587934,6.8,"Calibration","pH"
"713",79,6.56789896214131,4.41179445063945,5.4898467,5.6,"Calibration","pH"
"722",80,6.96484273533791,4.71065527339011,5.837749,5.8,"Calibration","pH"
"731",81,5.97426358803073,4.24737032310208,5.110817,5.1,"Calibration","pH"
"740",82,5.51279861828301,4.04329364398506,4.778046,4.8,"Calibration","pH"
"749",83,7.42529947413992,4.88137548313547,6.1533375,6.2,"Calibration","pH"
"758",84,4.87296847563265,3.65818329591276,4.265576,4.2,"Calibration","pH"
"767",85,6.51369127977505,4.4383436704813,5.4760175,5.4,"Calibration","pH"
"776",86,6.81954155417304,4.51958121804376,5.6695614,5.6,"Calibration","pH"
"785",87,6.59924143639581,4.52470856818183,5.561975,5.5,"Calibration","pH"
"794",88,6.10863114005749,4.30505370491321,5.2068424,5.3,"Calibration","pH"
"803",89,6.84962799374272,4.53080985720943,5.690219,5.7,"Calibration","pH"
"812",90,5.78711533125154,4.1663787407089,4.976747,4.8,"Calibration","pH"
"821",91,6.48576151844849,4.41722405436646,5.451493,5.1,"Calibration","pH"
"830",92,6.51017085726846,4.46896274868857,5.489567,5.5,"Calibration","pH"
"839",93,7.55610038128165,4.94900368365976,6.252552,6.3,"Calibration","pH"
"848",94,7.63906615933516,5.01377922335527,6.3264227,6.3,"Calibration","pH"
"857",95,6.89850393867862,4.59713586234677,5.74782,5.7,"Calibration","pH"
"866",96,7.43234799091818,4.88358714396951,6.1579676,6.03,"Calibration","pH"
"875",97,7.15109390254942,4.73553806308779,5.943316,6.2,"Calibration","pH"
"884",98,6.0320007158993,4.27055055363195,5.1512756,5.2,"Calibration","pH"
"893",99,6.59120209084689,4.48935096396268,5.5402765,5.4,"Calibration","pH"
"902",100,7.09607881489788,4.74110895213093,5.918594,5.93,"Calibration","pH"
"911",101,5.32992449844979,3.90203770552971,4.615981,4.5,"Calibration","pH"
"920",102,6.5920649386541,4.43542758453926,5.5137463,5.5,"Calibration","pH"
"929",103,7.20993897334624,4.77356722935151,5.991753,6.01,"Calibration","pH"
"938",104,4.97753079611965,3.74565474312595,4.361593,4.3,"Calibration","pH"
"947",105,8.3369598162973,5.32391550413727,6.8304377,7.1,"Calibration","pH"
"956",106,6.87095366807382,4.66768158583243,5.7693176,5.8,"Calibration","pH"
"965",107,7.33005141862229,4.88124752394363,6.1056495,5.7,"Calibration","pH"
"974",108,5.68803027655351,4.08485695336593,4.8864436,5,"Calibration","pH"
"983",109,6.31471884879537,4.3225501712852,5.3186345,5.3,"Calibration","pH"
"992",110,6.60735674326306,4.52926568563098,5.568311,5.5,"Calibration","pH"
"1001",111,6.34127847892969,4.36905820625097,5.3551683,5.2,"Calibration","pH"
"1010",112,5.38309640075179,3.96657305573014,4.6748347,4.7,"Calibration","pH"
"1019",113,5.6043766847056,4.07758723588766,4.840982,4.8,"Calibration","pH"
"1028",114,6.7883267564098,4.53850696856579,5.663417,5.7,"Calibration","pH"
"1037",115,6.17323177058029,4.32703335087968,5.2501326,5.4,"Calibration","pH"
"1046",116,5.74674335984713,4.14591010542387,4.9463267,5,"Calibration","pH"
"1055",117,7.77222436150057,5.06239611426848,6.41731,6.4,"Calibration","pH"
"1064",118,7.17088106904073,4.74019070830302,5.955536,5.9,"Calibration","pH"
"1073",119,5.01317535136726,3.76128353382561,4.3872294,4.3,"Calibration","pH"
"1082",120,6.36097154559477,4.40357294140475,5.3822722,5.7,"Calibration","pH"
"1091",121,5.96627168143986,4.21228189979794,5.089277,5.2,"Calibration","pH"
"1100",122,5.94524506508784,4.22914668143316,5.087196,4.9,"Calibration","pH"
"1109",123,4.16310225019888,3.18866481294199,3.6758835,3.7,"Calibration","pH"
"1118",124,7.69998237410355,5.03272274216842,6.3663526,6.5,"Calibration","pH"
"1127",125,5.84166261307455,4.18510321028971,5.013383,5,"Calibration","pH"
"1136",126,5.75845120470672,4.15210272748322,4.955277,4.6,"Calibration","pH"
"1145",127,7.0534309873296,4.69563727286327,5.874534,5.9,"Calibration","pH"
"1154",128,6.33276301602221,4.33737820407056,5.3350706,5.3,"Calibration","pH"
"1163",129,7.34374744920576,4.83082644910967,6.087287,6.1,"Calibration","pH"
"1172",130,7.30482586074249,4.85304061722382,6.0789332,6.3,"Calibration","pH"
"1181",131,6.68045697724668,4.53363623106631,5.6070466,5.6,"Calibration","pH"
"1190",132,6.77268297589188,4.53017346942062,5.651428,5.7,"Calibration","pH"
"1199",133,7.7451645306967,5.06941543298738,6.40729,6.4,"Calibration","pH"
"1208",134,7.34982674465357,4.82922751560034,6.089527,6,"Calibration","pH"
"1217",135,6.43799240603995,4.41430346950937,5.426148,5.3,"Calibration","pH"
"1225",136,6.90679286876753,4.67422748645708,5.79051,5.63,"Calibration","pH"
"1235",137,7.58198299503126,4.91395339870654,6.247968,6.2,"Calibration","pH"
"1244",138,5.97664701243435,4.24597109059299,5.111309,5.2,"Calibration","pH"
"1253",139,6.46342000431463,4.36364164882258,5.413531,5.5,"Calibration","pH"
"1262",140,6.25065566823236,4.36228130533942,5.3064685,5.53,"Calibration","pH"
"1271",141,6.47388600293896,4.44990874345997,5.4618974,5.4,"Calibration","pH"
"1280",142,6.45220977432614,4.35287159316654,5.4025407,5.5,"Calibration","pH"
"1289",143,8.00333805377523,5.13972835247477,6.571533,6.8,"Calibration","pH"
"1298",144,7.01877148209376,4.6942793601914,5.8565254,6,"Calibration","pH"
"1307",145,10.8124890640678,6.28154513087849,8.547017,8.5,"Calibration","pH"
"1316",146,7.15231252192145,4.72747778416986,5.939895,6,"Calibration","pH"
"1325",147,6.75655789279534,4.54281001186774,5.649684,5.6,"Calibration","pH"
"1334",148,7.8233022848919,5.12041948634833,6.471861,6.7,"Calibration","pH"
"1343",149,7.23338769637565,4.7811644200184,6.007276,6,"Calibration","pH"
"1352",150,5.46334340532055,4.00283358137378,4.7330885,4.8,"Calibration","pH"
"1361",151,7.92280634571208,5.07146779369222,6.497137,6.2,"Calibration","pH"
"1370",152,6.60692350458897,4.50531728673183,5.5561204,5.58,"Calibration","pH"
"1379",153,6.2350043277167,4.35632333951963,5.295664,5.8,"Calibration","pH"
"1388",154,6.69623387984108,4.56696306534935,5.6315985,5.61,"Calibration","pH"
"1398",155,7.61033360937865,4.97116453667848,6.290749,6.3,"Calibration","pH"
"1406",156,5.93957901399365,4.23234271604785,5.085961,5,"Calibration","pH"
"1415",157,6.28696614177941,4.38398951617958,5.335478,5.3,"Calibration","pH"
"1424",158,6.14986961514223,4.27718383639586,5.2135267,5.3,"Calibration","pH"
"1433",159,9.98888075912494,6.00109326278669,7.994987,8,"Calibration","pH"
"1442",160,5.66991199895979,4.08920703485369,4.8795595,4.6,"Calibration","pH"
"1451",161,5.4287765535857,4.0037414517854,4.716259,4.7,"Calibration","pH"
"1460",162,6.43770902977303,4.33267194404288,5.3851905,5.5,"Calibration","pH"
"1469",163,5.59829199598128,4.06976735307878,4.8340297,4.9,"Calibration","pH"
"1478",164,6.51957784115038,4.48731436313429,5.503446,5.6,"Calibration","pH"
"1487",165,5.97589887457185,4.19575678033537,5.085828,5,"Calibration","pH"
"1496",166,7.52838696550284,4.94190798688974,6.2351475,6.2,"Calibration","pH"
"1505",167,7.33309117632076,4.7887445322974,6.060918,6.2,"Calibration","pH"
"1514",168,6.93722049843796,4.65463741171829,5.795929,5.9,"Calibration","pH"
"1523",169,6.66119493460072,4.52986322427379,5.595529,5.56,"Calibration","pH"
"1532",170,5.15606352855643,3.84604504535714,4.5010543,4.4,"Calibration","pH"
"1541",171,5.73803273773877,4.13955171965869,4.938792,5,"Calibration","pH"
"1550",172,6.87635727356284,4.68111209441811,5.7787347,5.7,"Calibration","pH"
"1559",173,6.56096505221504,4.52945090237481,5.545208,5.7,"Calibration","pH"
"1568",174,7.91653860245972,5.09159337843627,6.504066,6.7,"Calibration","pH"
"1577",175,6.31743039763217,4.39210806214566,5.354769,5.4,"Calibration","pH"
"1586",176,7.68798680228378,4.97205977516983,6.3300233,6.5,"Calibration","pH"
"1595",177,5.17970210129742,3.82308072035785,4.5013914,4.5,"Calibration","pH"
"1604",178,8.68397704252914,5.36994751801774,7.0269623,7,"Calibration","pH"
"1613",179,6.64065269607806,4.54384322982526,5.592248,5.5,"Calibration","pH"
"1622",180,6.89603979125414,4.65475385651197,5.775397,5.8,"Calibration","pH"
"1631",181,6.6670137639306,4.55021131083746,5.6086125,5.7,"Calibration","pH"
"1640",182,6.31327125427361,4.40071514251594,5.356993,5.4,"Calibration","pH"
"1649",183,8.37035633880298,5.2765629116853,6.8234596,6.8,"Calibration","pH"
"1658",184,6.42532512153269,4.37960079704641,5.402463,5.5,"Calibration","pH"
"1667",185,6.04056803335939,4.27585442910399,5.158211,5.2,"Calibration","pH"
"1676",186,6.64743044884938,4.51713463751537,5.5822825,5.5,"Calibration","pH"
"1685",187,6.2441200115708,4.36447106814111,5.3042955,5.4,"Calibration","pH"
"1694",188,6.63591169982824,4.53522515625086,5.5855684,5.6,"Calibration","pH"
"1703",189,9.53186114532477,5.76193444030756,7.646898,7.7,"Calibration","pH"
"1712",190,6.6597248118607,4.52737083022915,5.593548,5.9,"Calibration","pH"
"1721",191,7.18317642083503,4.67608223089837,5.9296293,6,"Calibration","pH"
"1730",192,6.50726319586509,4.47045897210366,5.488861,5.5,"Calibration","pH"
"1739",193,7.4130286670283,4.89004712337698,6.151538,6.2,"Calibration","pH"
"1748",194,5.28148956947114,3.88554744072173,4.5835185,4.6,"Calibration","pH"
"1757",195,7.94860638295572,5.13608085001547,6.5423436,6.7,"Calibration","pH"
"1766",196,6.06086677361098,4.29744487952623,5.179156,5.3,"Calibration","pH"
"1775",197,7.40157989463129,4.89069934883795,6.1461396,6.07,"Calibration","pH"
"1784",198,6.35986965677201,4.40335685232223,5.3816133,5.3,"Calibration","pH"
"1793",199,5.90305539090328,4.21213416140385,5.057595,5.1,"Calibration","pH"
"1802",200,7.96205433163396,5.11179820742854,6.5369263,6.6,"Calibration","pH"
"1811",201,5.85394532914528,4.18638078932396,5.020163,5,"Calibration","pH"
"1820",202,6.04746354064787,4.27793585815585,5.1626997,5,"Calibration","pH"
"1829",203,6.39142595806381,4.26297105273941,5.3271985,5.4,"Calibration","pH"
"1838",204,7.966655489816,5.15509343443937,6.5608745,6.9,"Calibration","pH"
"1847",205,6.54750055140814,4.45984655552545,5.5036736,5.4,"Calibration","pH"
"1856",206,7.6645497961718,4.98881724636971,6.3266835,6.46,"Calibration","pH"
"1865",207,7.39886575308183,4.88533968362472,6.1421027,6.2,"Calibration","pH"
"1874",208,5.57894275057123,4.05493023526862,4.8169365,4.9,"Calibration","pH"
"1883",209,5.16830885405956,3.83435761932911,4.501333,4.6,"Calibration","pH"
"1892",210,4.26636418310547,3.28774109872437,3.7770526,3.8,"Calibration","pH"
"1901",211,7.96625265235318,5.09739843254672,6.5318255,6.7,"Calibration","pH"
"1910",212,6.55421609861281,4.44034223573778,5.497279,5.7,"Calibration","pH"
"1919",213,6.01309312121372,4.2572649644186,5.135179,5,"Calibration","pH"
"1928",214,5.090911070035,3.70122989065836,4.3960705,4.4,"Calibration","pH"
"1937",215,8.46217654087815,5.36148049494949,6.9118285,7,"Calibration","pH"
"1946",216,6.8567830878414,4.63586217583048,5.7463226,5.7,"Calibration","pH"
"1955",217,6.85965199139748,4.63079314562645,5.7452226,5.7,"Calibration","pH"
"1964",218,6.89719437390428,4.66375876635451,5.7804766,5.9,"Calibration","pH"
"1973",219,7.80065459195984,5.06977253969299,6.4352136,6.6,"Calibration","pH"
"1982",220,7.28279210928516,4.84431741830273,6.063555,6,"Calibration","pH"
"1991",221,10.4284359250641,6.25849568504331,8.343466,8.3,"Calibration","pH"
"2000",222,6.18663283136926,4.32994965764441,5.2582912,5.2,"Calibration","pH"
"2009",223,6.12493465171099,4.31494285835981,5.2199388,5.3,"Calibration","pH"
"2018",224,5.85964159715484,4.11931844007661,4.98948,4.9,"Calibration","pH"
"2026",225,7.76091687361881,5.04563696701839,6.403277,6.5,"Calibration","pH"
"2036",226,6.21274014039744,4.35185126737844,5.2822957,5.4,"Calibration","pH"
"2044",227,6.198973110686,4.33098752163822,5.2649803,5.2,"Calibration","pH"
"2054",228,5.78371650669851,4.13010185267649,4.956909,5,"Calibration","pH"
"2063",229,7.42588555236576,4.87079775909664,6.1483417,6.1,"Calibration","pH"
"2072",230,6.62362130731139,4.43542066961732,5.529521,5.5,"Calibration","pH"
"2081",231,7.56451025189661,4.95691594897009,6.260713,6.2,"Calibration","pH"
"2090",232,8.14548156392625,5.15157558786818,6.6485286,6.6,"Calibration","pH"
"2099",233,4.28642365312167,3.33776620054655,3.812095,3.8,"Calibration","pH"
"2108",234,6.82655413401157,4.59675614583462,5.711655,5.6,"Calibration","pH"
"2117",235,7.54002128616938,4.91399826033941,6.22701,6.14,"Calibration","pH"
"2126",236,6.14072008465538,4.29082135821571,5.2157707,5.3,"Calibration","pH"
"2135",237,5.91673150974194,4.21862634700854,5.067679,5.1,"Calibration","pH"
"2144",238,4.77250831722893,3.60105831027351,4.1867833,4,"Calibration","pH"
"2154",239,7.12491101965972,4.73305158867768,5.9289813,5.9,"Calibration","pH"
"2162",240,6.344575007801,4.39073459302908,5.367655,5.3,"Calibration","pH"
"2172",241,7.08767648181227,4.71184496441575,5.8997607,5.9,"Calibration","pH"
"2180",242,5.93742039581409,4.18540331939587,5.061412,5.2,"Calibration","pH"
"2190",243,6.86674884999588,4.60162730967209,5.734188,5.7,"Calibration","pH"
"2199",244,8.77709908622153,5.48530917030923,7.131204,7.31,"Calibration","pH"
"2208",245,7.35921033301547,4.843343416069,6.101277,6.1,"Calibration","pH"
"2216",246,7.36720228043939,4.8510470405445,6.1091247,6.08,"Calibration","pH"
"2225",247,5.97307121672465,4.24185836396383,5.107465,5.1,"Calibration","pH"
"2234",248,6.82718586789073,4.60792422427235,5.717555,5.7,"Calibration","pH"
"2243",249,6.51416308754943,4.47384350424744,5.4940033,5.6,"Calibration","pH"
"2252",250,5.99472505064086,4.24699991731568,5.1208625,5.2,"Calibration","pH"
"2261",251,7.16915228192101,4.76216981585732,5.965661,6,"Calibration","pH"
"2270",252,8.18985882371079,5.12565383345474,6.6577563,6.8,"Calibration","pH"
"2279",253,5.10154316630783,3.8089640358406,4.4552536,4.4,"Calibration","pH"
"2288",254,5.89540169819348,4.19455172435291,5.0449767,5.1,"Calibration","pH"
"2297",255,6.83515079110611,4.55558292776596,5.695367,5.7,"Calibration","pH"
"2306",256,5.8233270194794,4.15380768511045,4.9885674,5.2,"Calibration","pH"
"2315",257,6.55198192953772,4.36325740456872,5.4576197,5.5,"Calibration","pH"
"2324",258,9.46863713564328,5.80098662076541,7.634812,7.7,"Calibration","pH"
"2333",259,5.14307559115109,3.83659397977176,4.489835,4.4,"Calibration","pH"
"2342",260,7.08558274853895,4.72220323931505,5.903893,5.8,"Calibration","pH"
"2351",261,7.29551368021114,4.81979412771122,6.057654,6,"Calibration","pH"
"2360",262,5.01162280436588,3.76792297963071,4.389773,4.4,"Calibration","pH"
"2369",263,5.62332909463772,4.08822733999363,4.855778,4.9,"Calibration","pH"
"2378",264,7.21788534064972,4.80626264671601,6.012074,6,"Calibration","pH"
"2387",265,6.06980022420442,4.26511875162566,5.1674595,5.1,"Calibration","pH"
"2396",266,7.15145624903265,4.80106412145075,5.97626,6,"Calibration","pH"
"2405",267,8.19249678679239,5.24542664460409,6.7189617,6.8,"Calibration","pH"
"2414",268,5.92953105868073,4.20297245084076,5.0662518,5.2,"Calibration","pH"
"2423",269,4.60906217091753,3.53564264780805,4.0723524,4.1,"Calibration","pH"
"2432",270,6.34292726063385,4.4111973807846,5.3770623,5.4,"Calibration","pH"
"2441",271,6.36615625544169,4.37933858708761,5.3727474,5.4,"Calibration","pH"
"2450",272,6.73212725058587,4.5686702118775,5.6503987,5.6,"Calibration","pH"
"2459",273,7.55719657874958,4.93372348808392,6.24546,6.4,"Calibration","pH"
"2468",274,7.34559306106013,4.87398186722356,6.1097875,6,"Calibration","pH"
"2477",275,8.8858380035438,5.5002646728478,7.1930513,7.1,"Calibration","pH"
"2486",276,5.18950638350213,3.83004012528693,4.5097733,4.4,"Calibration","pH"
"2495",277,7.03707116190514,4.70242602284828,5.8697486,5.94,"Calibration","pH"
"2504",278,6.70516435412251,4.54792173596538,5.626543,5.6,"Calibration","pH"
"2513",279,6.8125909895681,4.5993266968943,5.705959,5.7,"Calibration","pH"
"2522",280,5.99703734923315,4.24102074097681,5.119029,5.1,"Calibration","pH"
"2531",281,6.79498625003782,4.59241151607546,5.693699,5.8,"Calibration","pH"
"2540",282,5.99247794235269,4.24882359420737,5.120651,5.1,"Calibration","pH"
"2549",283,6.46091664224718,4.42654788106825,5.4437323,5.7,"Calibration","pH"
"2558",284,7.31234735917754,4.83174520063691,6.0720463,6.12,"Calibration","pH"
"2567",285,6.54823627435235,4.49574813879462,5.521992,5.5,"Calibration","pH"
"2576",286,6.65982301722885,4.50519029606461,5.5825067,5.7,"Calibration","pH"
"2585",287,6.06658400992103,4.26736412545494,5.166974,5.1,"Calibration","pH"
"2594",288,5.68966358815546,4.09698611582403,4.893325,4.8,"Calibration","pH"
"2603",289,7.01688800138312,4.5839897604577,5.800439,5.9,"Calibration","pH"
"2612",290,7.6697800837902,5.04149310956918,6.3556366,6.5,"Calibration","pH"
"2621",291,5.82990845032197,4.18263904265899,5.0062737,4.9,"Calibration","pH"
"2630",292,4.93715804303664,3.73238522325974,4.3347716,4.3,"Calibration","pH"
"2639",293,7.10642848000157,4.75285019889247,5.9296393,6,"Calibration","pH"
"2648",294,6.37665242547457,4.40685301428373,5.3917527,5.4,"Calibration","pH"
"2657",295,6.97688998502984,4.6449676580976,5.810929,5.9,"Calibration","pH"
"2666",296,7.24377296983529,4.81185962141226,6.0278163,6.02,"Calibration","pH"
"2675",297,7.36343948810062,4.84715945751705,6.1052995,6.15,"Calibration","pH"
"2684",298,5.94704774213378,4.23313757585938,5.0900927,5.1,"Calibration","pH"
"2693",299,7.1678788957413,4.74033185865323,5.9541054,5.8,"Calibration","pH"
"2702",300,7.64938288781864,5.02067345525997,6.335028,6.2,"Calibration","pH"
"2711",301,7.82055691071417,4.90854808501336,6.3645525,6.3,"Calibration","pH"
"2720",302,5.92554098415017,4.21944707584739,5.072494,5.2,"Calibration","pH"
"2729",303,6.69275095746045,4.55191704943652,5.622334,5.4,"Calibration","pH"
"2738",304,8.02867776972031,5.14089410680557,6.584786,6.6,"Calibration","pH"
"2747",305,5.81768692574952,4.15784655966308,4.9877667,5.1,"Calibration","pH"
"2756",306,6.86540676975249,4.60195754146577,5.733682,5.8,"Calibration","pH"
"2765",307,8.14891949004475,5.20969733887371,6.6793084,6.6,"Calibration","pH"
"2774",308,6.39845028815767,4.37622126640776,5.387336,5.4,"Calibration","pH"
"2783",309,5.31506095917994,3.91651214567846,4.6157866,4.6,"Calibration","pH"
"2792",310,5.77349953529906,4.15186877372193,4.962684,5,"Calibration","pH"
"2801",311,6.37867763979904,4.39101096646317,5.3848443,5.4,"Calibration","pH"
"2810",312,6.40188278555421,4.36544261575194,5.3836627,5.4,"Calibration","pH"
"2819",313,7.21744101012869,4.73971993957834,5.9785805,6.1,"Calibration","pH"
"2828",314,6.52150420945758,4.44727153974897,5.484388,5.5,"Calibration","pH"
"2837",315,6.95486754702562,4.64367371274001,5.7992706,5.7,"Calibration","pH"
"2846",316,6.77063761280429,4.56024350597012,5.6654406,5.7,"Calibration","pH"
"2855",317,5.15955163266515,3.83467673037196,4.497114,4.5,"Calibration","pH"
"2864",318,6.30664804434945,4.36925527596305,5.3379517,5.5,"Calibration","pH"
"2873",319,4.60353354964163,3.49708576645945,4.0503097,3.9,"Calibration","pH"
"2882",320,5.38968565864263,3.93206402855219,4.660875,4.6,"Calibration","pH"
"2891",321,6.94901155197662,4.65545583999115,5.8022337,5.8,"Calibration","pH"
"2900",322,5.44459015071758,3.98153632938496,4.7130632,4.7,"Calibration","pH"
"2909",323,5.88973514717121,4.20593555290203,5.0478354,5.1,"Calibration","pH"
"2918",324,6.21814433624273,4.34989651153559,5.2840204,5.4,"Calibration","pH"
"2927",325,6.38887864853676,4.39197843764488,5.3904285,5.4,"Calibration","pH"
"2936",326,8.28703008162347,5.25174440873298,6.7693872,7.3,"Calibration","pH"
"2945",327,10.6784043458564,6.27465580429008,8.47653,8.4,"Calibration","pH"
"2954",328,5.1676146761133,3.85864474618894,4.5131297,4.5,"Calibration","pH"
"2963",329,6.6069216424721,4.52651932890241,5.5667205,5.5,"Calibration","pH"
"2972",330,7.88659398306206,5.11515982400581,6.500877,6.6,"Calibration","pH"
"2981",331,10.482310276124,6.12686254492092,8.304586,8.2,"Calibration","pH"
"2990",332,6.92228552688291,4.65647462021182,5.78938,5.9,"Calibration","pH"
"2999",333,8.35371526371296,5.29892603267376,6.8263206,6.8,"Calibration","pH"
"3008",334,6.44211099625857,4.45281698225705,5.447464,5.3,"Calibration","pH"
"3017",335,6.5107461622422,4.41193946092675,5.461343,5.4,"Calibration","pH"
"3026",336,8.80368132068681,5.4670477442546,7.1353645,7.6,"Calibration","pH"
"3035",337,5.21345985538541,3.86711608760775,4.540288,4.4,"Calibration","pH"
"3044",338,7.34764094225146,4.79003338941357,6.068837,6.1,"Calibration","pH"
"3053",339,6.69529699211426,4.56454874152831,5.629923,5.4,"Calibration","pH"
